,crim_2007,crim_2008,crim_2009,crim_2010,crim_2011,crim_2012,crim_2013,crim_2014,crim_2015,crim_2016,crim_2017,crim_2018,crim_2019,crim_2020,crim_2021,crim_2022
0,93077.0,95101.0,96970.0,94792.0,99787.0,102135.0,102478.0,97983.0,93883.0,102763.0,93446.0,89159.0,93849.0,75750.0,70167.0,81216.0
1,8149.0,7971.0,8239.0,8809.0,9737.0,10007.0,9910.0,9211.0,8666.0,8395.0,8576.0,7230.0,7217.0,7163.0,6761.0,7798.0
2,671.0,688.0,667.0,687.0,651.0,742.0,620.0,498.0,591.0,589.0,628.0,509.0,660.0,588.0,508.0,496.0
3,5446.0,5947.0,6396.0,6439.0,6424.0,6991.0,7178.0,6991.0,7974.0,8447.0,8350.0,7848.0,7374.0,4656.0,4160.0,5759.0
4,2903.0,3339.0,3394.0,3241.0,2854.0,2850.0,3182.0,2779.0,2584.0,2767.0,2538.0,2507.0,2607.0,3373.0,2017.0,2483.0
5,4601.0,4592.0,5237.0,4904.0,4613.0,4189.0,4690.0,4420.0,4247.0,4127.0,4165.0,3688.0,3910.0,3446.0,3271.0,3562.0
6,3306.0,3621.0,3621.0,3310.0,3453.0,3335.0,3574.0,3760.0,3334.0,3733.0,3466.0,3664.0,3031.0,2514.0,2784.0,3059.0
7,5621.0,5469.0,6620.0,6139.0,5793.0,6138.0,5856.0,5859.0,5167.0,5834.0,6083.0,5727.0,5504.0,4309.0,4226.0,4685.0
8,4418.0,4942.0,5666.0,5247.0,4709.0,4822.0,5195.0,4792.0,5116.0,4803.0,4591.0,4588.0,4335.0,4089.0,3300.0,4452.0
9,2618.0,2892.0,2928.0,2608.0,2454.0,2560.0,2620.0,2711.0,2869.0,2873.0,2614.0,2809.0,2429.0,2228.0,1987.0,2205.0
10,2763.0,2693.0,2999.0,3078.0,2725.0,2659.0,2876.0,2719.0,2805.0,2565.0,2565.0,2766.0,2871.0,2932.0,2310.0,2168.0
11,5399.0,5381.0,5691.0,5558.0,4682.0,4973.0,5381.0,4955.0,4464.0,4285.0,4702.0,4420.0,4093.0,4407.0,3482.0,3808.0
12,4190.0,4972.0,5184.0,4817.0,4117.0,4104.0,4531.0,4487.0,4855.0,4746.0,4614.0,4349.0,4529.0,4085.0,3623.0,4188.0
13,2530.0,3278.0,2921.0,2552.0,2168.0,2121.0,2231.0,2067.0,2134.0,1921.0,1968.0,2033.0,2049.0,1958.0,1610.0,1787.0
14,5263.0,5410.0,5038.0,5266.0,4846.0,5287.0,5003.0,5231.0,5128.0,4698.0,4589.0,4986.0,4277.0,3345.0,3168.0,3909.0
15,4188.0,4304.0,4375.0,4365.0,3987.0,3864.0,3807.0,3529.0,3547.0,3354.0,3531.0,3351.0,3280.0,3123.0,2762.0,3344.0
16,927.0,1196.0,1341.0,1141.0,1045.0,1079.0,1048.0,990.0,894.0,871.0,906.0,893.0,955.0,755.0,646.0,778.0
17,1432.0,1631.0,1719.0,2120.0,4194.0,2984.0,4935.0,6049.0,4943.0,5094.0,2219.0,3597.0,1775.0,1078.0,979.0,1697.0
18,2239.0,2364.0,2719.0,2513.0,2240.0,2111.0,2029.0,2007.0,1844.0,1966.0,1745.0,1764.0,1534.0,1449.0,1432.0,1806.0
