,crim_2007,crim_2008,crim_2009,crim_2010,crim_2011,crim_2012,crim_2013,crim_2014,crim_2015,crim_2016,crim_2017,crim_2018,crim_2019,crim_2020,crim_2021,crim_2022,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022
0,93077.0,95101.0,96970.0,94792.0,99787.0,102135.0,102478.0,97983.0,93883.0,102763.0,93446.0,89159.0,93849.0,75750.0,70167.0,81216.0,2050234.0,2087548.0,2128340.0,2171533.0,2210450.0,2253072.0,2293733.0,2336757.0,2381695.0,2425726.0,2468077.0,2509283.0,2536760.0,2559198.0,2591316.0
1,8149.0,7971.0,8239.0,8809.0,9737.0,10007.0,9910.0,9211.0,8666.0,8395.0,8576.0,7230.0,7217.0,7163.0,6761.0,7798.0,376218.0,382743.0,390392.0,397433.0,403617.0,409045.0,411462.0,415202.0,418391.0,419812.0,417612.0,416898.0,417068.0,413683.0,416443.0
2,671.0,688.0,667.0,687.0,651.0,742.0,620.0,498.0,591.0,589.0,628.0,509.0,660.0,588.0,508.0,496.0,53378.0,53837.0,54526.0,54923.0,55069.0,55593.0,55848.0,56154.0,56719.0,57073.0,56974.0,57460.0,58014.0,58348.0,58525.0
3,5446.0,5947.0,6396.0,6439.0,6424.0,6991.0,7178.0,6991.0,7974.0,8447.0,8350.0,7848.0,7374.0,4656.0,4160.0,5759.0,160410.0,161191.0,162171.0,163933.0,164995.0,166758.0,169074.0,170640.0,171717.0,172069.0,172149.0,171993.0,171360.0,170690.0,171713.0
4,2903.0,3339.0,3394.0,3241.0,2854.0,2850.0,3182.0,2779.0,2584.0,2767.0,2538.0,2507.0,2607.0,3373.0,2017.0,2483.0,110579.0,111139.0,110949.0,111098.0,111463.0,111129.0,111018.0,110931.0,111411.0,111429.0,111072.0,111072.0,110421.0,109082.0,110270.0
5,4601.0,4592.0,5237.0,4904.0,4613.0,4189.0,4690.0,4420.0,4247.0,4127.0,4165.0,3688.0,3910.0,3446.0,3271.0,3562.0,189061.0,190050.0,190886.0,191951.0,192556.0,193428.0,193908.0,193188.0,192982.0,192879.0,193391.0,193795.0,195286.0,196785.0,198173.0
6,3306.0,3621.0,3621.0,3310.0,3453.0,3335.0,3574.0,3760.0,3334.0,3733.0,3466.0,3664.0,3031.0,2514.0,2784.0,3059.0,135008.0,135232.0,135423.0,136079.0,136505.0,137144.0,139297.0,140659.0,141654.0,142161.0,142132.0,140897.0,140515.0,141577.0,144272.0
7,5621.0,5469.0,6620.0,6139.0,5793.0,6138.0,5856.0,5859.0,5167.0,5834.0,6083.0,5727.0,5504.0,4309.0,4226.0,4685.0,276744.0,280931.0,285588.0,288200.0,292164.0,294692.0,298460.0,300542.0,302213.0,303381.0,301891.0,300448.0,299018.0,297442.0,297643.0
8,4418.0,4942.0,5666.0,5247.0,4709.0,4822.0,5195.0,4792.0,5116.0,4803.0,4591.0,4588.0,4335.0,4089.0,3300.0,4452.0,251266.0,253739.0,257817.0,260303.0,262351.0,264926.0,267536.0,269984.0,272767.0,276442.0,277813.0,278206.0,276723.0,276469.0,277930.0
9,2618.0,2892.0,2928.0,2608.0,2454.0,2560.0,2620.0,2711.0,2869.0,2873.0,2614.0,2809.0,2429.0,2228.0,1987.0,2205.0,83152.0,84519.0,85488.0,85921.0,86908.0,87894.0,88791.0,89593.0,89922.0,90220.0,90345.0,91367.0,93100.0,93922.0,94215.0
10,2763.0,2693.0,2999.0,3078.0,2725.0,2659.0,2876.0,2719.0,2805.0,2565.0,2565.0,2766.0,2871.0,2932.0,2310.0,2168.0,106426.0,106414.0,106547.0,106322.0,106784.0,108438.0,111591.0,112823.0,113706.0,113930.0,114382.0,115601.0,115730.0,115464.0,115565.0
11,5399.0,5381.0,5691.0,5558.0,4682.0,4973.0,5381.0,4955.0,4464.0,4285.0,4702.0,4420.0,4093.0,4407.0,3482.0,3808.0,197255.0,197763.0,199434.0,201085.0,203701.0,206245.0,208180.0,210268.0,211784.0,212387.0,213665.0,213966.0,213869.0,213304.0,213288.0
12,4190.0,4972.0,5184.0,4817.0,4117.0,4104.0,4531.0,4487.0,4855.0,4746.0,4614.0,4349.0,4529.0,4085.0,3623.0,4188.0,189000.0,190086.0,190501.0,191588.0,192822.0,194424.0,195793.0,198074.0,200485.0,201493.0,202629.0,203304.0,203749.0,209147.0,215431.0
13,2530.0,3278.0,2921.0,2552.0,2168.0,2121.0,2231.0,2067.0,2134.0,1921.0,1968.0,2033.0,2049.0,1958.0,1610.0,1787.0,82783.0,82962.0,82723.0,83891.0,84388.0,85049.0,86887.0,88612.0,89972.0,91340.0,91984.0,91837.0,91994.0,92407.0,93322.0
14,5263.0,5410.0,5038.0,5266.0,4846.0,5287.0,5003.0,5231.0,5128.0,4698.0,4589.0,4986.0,4277.0,3345.0,3168.0,3909.0,206188.0,206723.0,209659.0,211584.0,213755.0,215989.0,217868.0,219295.0,220903.0,221617.0,222349.0,224419.0,225093.0,228453.0,232375.0
15,4188.0,4304.0,4375.0,4365.0,3987.0,3864.0,3807.0,3529.0,3547.0,3354.0,3531.0,3351.0,3280.0,3123.0,2762.0,3344.0,144561.0,144974.0,145219.0,146498.0,148238.0,149470.0,150318.0,151084.0,152603.0,154841.0,158311.0,161427.0,163159.0,164744.0,166917.0
16,927.0,1196.0,1341.0,1141.0,1045.0,1079.0,1048.0,990.0,894.0,871.0,906.0,893.0,955.0,755.0,646.0,778.0,51202.0,54380.0,56868.0,58007.0,58511.0,59569.0,60493.0,61126.0,62102.0,63335.0,65901.0,66620.0,66191.0,66101.0,66532.0
17,1432.0,1631.0,1719.0,2120.0,4194.0,2984.0,4935.0,6049.0,4943.0,5094.0,2219.0,3597.0,1775.0,1078.0,979.0,1697.0,94433.0,95687.0,96483.0,96310.0,96269.0,96318.0,96919.0,98054.0,99294.0,100375.0,101509.0,102745.0,102774.0,103582.0,103790.0
18,2239.0,2364.0,2719.0,2513.0,2240.0,2111.0,2029.0,2007.0,1844.0,1966.0,1745.0,1764.0,1534.0,1449.0,1432.0,1806.0,163149.0,164667.0,166261.0,166868.0,167562.0,168427.0,169494.0,170595.0,171365.0,172166.0,172459.0,173503.0,173625.0,175707.0,178831.0
19,2504.0,2529.0,2998.0,2732.0,2489.0,2723.0,2792.0,2839.0,2399.0,2124.0,1900.0,1837.0,1749.0,1609.0,1587.0,1793.0,156895.0,157022.0,156875.0,157774.0,158164.0,157891.0,158647.0,159657.0,160915.0,162394.0,163138.0,163361.0,163682.0,164284.0,165905.0
20,3360.0,3643.0,3419.0,3046.0,2710.0,2900.0,3433.0,3020.0,2721.0,2790.0,2798.0,2608.0,2798.0,2471.0,2386.0,2469.0,176768.0,177005.0,177128.0,177356.0,177537.0,177483.0,177809.0,178432.0,179431.0,180472.0,181010.0,181338.0,181464.0,182707.0,184181.0
21,2576.0,2740.0,3064.0,3279.0,2819.0,2435.0,2496.0,2507.0,2271.0,2599.0,2284.0,2176.0,1984.0,1660.0,1646.0,2022.0,150990.0,152292.0,152975.0,153158.0,152766.0,153016.0,154618.0,157906.0,161571.0,162589.0,163740.0,164481.0,163904.0,164496.0,166686.0
22,2246.0,2828.0,3142.0,2834.0,2655.0,2670.0,2509.0,3149.0,3041.0,2714.0,2502.0,2370.0,2564.0,2142.0,2075.0,2501.0,162428.0,162828.0,163034.0,162607.0,162629.0,162957.0,163471.0,163942.0,164761.0,164940.0,165005.0,164811.0,164377.0,164450.0,165614.0
23,2329.0,2654.0,2587.0,2566.0,2621.0,2689.0,2551.0,2358.0,1735.0,2005.0,2417.0,1753.0,1972.0,1768.0,1614.0,1722.0,123529.0,124301.0,124326.0,124334.0,123584.0,123024.0,122785.0,123396.0,124457.0,124972.0,125131.0,125438.0,125914.0,125773.0,125982.0
24,6676.0,7269.0,7279.0,6737.0,6242.0,6236.0,6723.0,5874.0,5112.0,5053.0,5435.0,4459.0,4599.0,4122.0,3911.0,4957.0,243436.0,244285.0,245097.0,245442.0,246406.0,246289.0,246375.0,247469.0,249276.0,250270.0,250667.0,250550.0,251524.0,252318.0,252484.0
25,3468.0,3804.0,3869.0,3852.0,5688.0,4240.0,4109.0,3921.0,3680.0,4058.0,3615.0,3311.0,3390.0,2968.0,3221.0,3774.0,186883.0,188778.0,190561.0,192238.0,192966.0,193409.0,195163.0,197331.0,199336.0,201062.0,202995.0,204573.0,204854.0,208096.0,214439.0
26,1630.0,1606.0,1799.0,1787.0,1592.0,1652.0,1640.0,1710.0,1762.0,1821.0,1778.0,1955.0,2133.0,2624.0,1476.0,2164.0,96944.0,97285.0,97657.0,97606.0,97583.0,98387.0,99154.0,99694.0,99875.0,100176.0,100205.0,99971.0,99425.0,99276.0,99104.0
27,3210.0,3290.0,4215.0,3683.0,4060.0,3995.0,3307.0,3747.0,3574.0,3739.0,3858.0,3627.0,3669.0,2984.0,2577.0,2931.0,215624.0,216441.0,218347.0,218640.0,218577.0,219391.0,220736.0,222045.0,223615.0,224370.0,224743.0,226397.0,226862.0,228577.0,229193.0
28,2294.0,2394.0,2177.0,2032.0,1614.0,1783.0,2112.0,1860.0,1779.0,1718.0,1634.0,1559.0,1686.0,1432.0,1608.0,1739.0,170908.0,169736.0,168151.0,166351.0,164383.0,162236.0,160326.0,159168.0,158843.0,158713.0,158528.0,158458.0,157954.0,158573.0,158685.0
29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,390.0,390.0,391.0,409.0,408.0,381.0,372.0,364.0,358.0,324.0,351.0,347.0,346.0,361.0,378.0
30,3954.0,5381.0,5725.0,5206.0,4714.0,4542.0,4572.0,4291.0,3742.0,3893.0,3574.0,3406.0,3313.0,3016.0,2637.0,3185.0,191172.0,191608.0,191494.0,191757.0,191892.0,192134.0,193724.0,196231.0,198667.0,199884.0,200225.0,201302.0,202091.0,202437.0,204525.0
31,4688.0,5844.0,6497.0,5981.0,5821.0,5333.0,5470.0,5097.0,4322.0,4615.0,4463.0,3736.0,3699.0,3562.0,3253.0,3410.0,226963.0,227631.0,228869.0,228980.0,229967.0,232158.0,234763.0,237844.0,239821.0,240773.0,242100.0,242946.0,244621.0,246361.0,247944.0
32,1263.0,1614.0,1618.0,1559.0,1375.0,1338.0,1348.0,1270.0,1108.0,1192.0,1133.0,1542.0,1040.0,846.0,1031.0,1137.0,106615.0,107130.0,107276.0,107246.0,107775.0,107647.0,108074.0,108837.0,109519.0,109936.0,110608.0,111720.0,112222.0,113690.0,115120.0
33,7584.0,9049.0,9409.0,8667.0,9042.0,9288.0,9263.0,8861.0,8281.0,7850.0,8043.0,7573.0,6634.0,4730.0,4669.0,5906.0,323431.0,326049.0,328494.0,330847.0,332819.0,335030.0,337919.0,341634.0,346306.0,348141.0,349949.0,350260.0,353404.0,355851.0,359692.0
34,1212.0,1724.0,1746.0,1997.0,1413.0,1453.0,1488.0,1258.0,1231.0,1138.0,1208.0,1140.0,1159.0,975.0,948.0,1103.0,82884.0,83224.0,83561.0,84161.0,84528.0,84855.0,85782.0,86565.0,87699.0,89009.0,90748.0,92680.0,93246.0,94003.0,95458.0
35,2144.0,2768.0,2720.0,2735.0,2567.0,2158.0,2302.0,2302.0,2264.0,2268.0,1977.0,1824.0,1698.0,1629.0,1372.0,1832.0,141823.0,141698.0,141344.0,140962.0,140595.0,140381.0,140574.0,141488.0,142815.0,144105.0,145160.0,146182.0,146385.0,147557.0,148799.0
36,5436.0,5506.0,5739.0,4944.0,5036.0,4625.0,5283.0,5026.0,4650.0,4975.0,4416.0,4391.0,4869.0,3707.0,3362.0,3744.0,253606.0,252208.0,251226.0,248983.0,246850.0,244764.0,243671.0,243480.0,244484.0,245064.0,244409.0,243432.0,242015.0,241468.0,241402.0
37,5079.0,6075.0,5984.0,5362.0,5304.0,5148.0,5664.0,4689.0,4169.0,4368.0,4498.0,4205.0,4139.0,4844.0,3325.0,3534.0,276916.0,278050.0,278231.0,278009.0,277475.0,276832.0,275930.0,277763.0,281330.0,283886.0,284444.0,285385.0,286596.0,289100.0,292404.0
38,3818.0,4667.0,4440.0,3862.0,3696.0,3455.0,3490.0,3300.0,2849.0,2966.0,2685.0,2669.0,2628.0,2178.0,2338.0,2748.0,199076.0,198296.0,196918.0,195916.0,194081.0,193348.0,193549.0,194219.0,195011.0,195293.0,195516.0,194415.0,193601.0,193789.0,194114.0
39,4220.0,5035.0,5130.0,4495.0,4447.0,3704.0,4078.0,3927.0,5328.0,4644.0,4280.0,4237.0,4706.0,2955.0,5232.0,3257.0,192287.0,189803.0,186796.0,183460.0,180089.0,176402.0,173435.0,171677.0,170124.0,168793.0,167437.0,165889.0,163505.0,161506.0,160249.0
40,5792.0,6736.0,6521.0,6192.0,6275.0,5660.0,5784.0,6027.0,5521.0,5717.0,5325.0,5952.0,4924.0,5404.0,3974.0,4922.0,323425.0,324087.0,324072.0,323728.0,324599.0,324821.0,326059.0,327568.0,329855.0,330961.0,332000.0,332262.0,332454.0,333650.0,336922.0
41,2291.0,2450.0,3051.0,2761.0,2993.0,2661.0,2526.0,2275.0,2061.0,2213.0,2517.0,2387.0,2193.0,2048.0,1563.0,2217.0,132676.0,132623.0,131877.0,131176.0,130200.0,129860.0,130562.0,131126.0,131521.0,132261.0,132464.0,132504.0,131674.0,131770.0,131826.0
42,2760.0,2980.0,3082.0,3001.0,2684.0,2707.0,2406.0,2470.0,2634.0,2329.0,2429.0,2256.0,1989.0,1991.0,1966.0,1947.0,129066.0,130107.0,130671.0,131842.0,132574.0,133054.0,133723.0,135117.0,136462.0,137329.0,138128.0,138980.0,139371.0,140057.0,141948.0
43,6959.0,7518.0,7480.0,7450.0,7708.0,7271.0,7038.0,7080.0,7506.0,7148.0,6667.0,8162.0,6211.0,5861.0,4256.0,5030.0,310005.0,309855.0,309884.0,309724.0,308992.0,308415.0,308366.0,309990.0,313592.0,315460.0,315952.0,316206.0,316510.0,317608.0,319198.0
44,1760.0,1979.0,2005.0,2286.0,2094.0,1898.0,1887.0,2163.0,1836.0,2140.0,2074.0,1702.0,1619.0,1370.0,1289.0,1238.0,117014.0,117935.0,118114.0,117813.0,117328.0,117092.0,117107.0,117554.0,118344.0,118507.0,118879.0,119398.0,119612.0,119840.0,120380.0
45,867.0,988.0,990.0,1162.0,909.0,938.0,1005.0,967.0,892.0,886.0,851.0,940.0,750.0,747.0,801.0,885.0,87555.0,87797.0,87695.0,87493.0,87260.0,87381.0,87588.0,88462.0,89355.0,90420.0,91298.0,91317.0,91420.0,92916.0,94744.0
46,3528.0,4125.0,3718.0,3488.0,3858.0,3052.0,2877.0,3077.0,3083.0,3378.0,2982.0,2658.0,2686.0,2212.0,2307.0,2894.0,186521.0,185777.0,185142.0,184280.0,182650.0,181586.0,181447.0,182383.0,183641.0,184171.0,183887.0,182979.0,181820.0,181216.0,181630.0
47,2441.0,2752.0,2927.0,2781.0,2384.0,2320.0,2295.0,2056.0,1677.0,1820.0,1503.0,1765.0,2061.0,2372.0,1701.0,1474.0,168668.0,168406.0,167537.0,166319.0,165577.0,164723.0,164134.0,164541.0,165396.0,165627.0,165529.0,164512.0,163579.0,163446.0,163877.0
48,2340.0,2940.0,3198.0,3074.0,3268.0,2894.0,2370.0,2710.0,2201.0,1996.0,2290.0,2372.0,2026.0,2143.0,2004.0,1989.0,208218.0,208362.0,207943.0,207046.0,206186.0,205069.0,204138.0,204288.0,205136.0,205686.0,206545.0,206938.0,206208.0,206897.0,208017.0
49,1324.0,1349.0,1593.0,1407.0,1285.0,1386.0,1349.0,1216.0,1089.0,864.0,897.0,1052.0,995.0,1016.0,1012.0,820.0,94617.0,95027.0,94995.0,94973.0,95055.0,94882.0,94943.0,95237.0,95372.0,95112.0,95148.0,95256.0,95308.0,95602.0,96189.0
50,648.0,817.0,936.0,769.0,695.0,768.0,575.0,578.0,525.0,536.0,565.0,595.0,609.0,550.0,509.0,697.0,54665.0,54179.0,53862.0,52914.0,52054.0,51214.0,50666.0,50335.0,50226.0,50313.0,50414.0,50180.0,49661.0,49421.0,49439.0
51,2777.0,3087.0,3113.0,3061.0,3060.0,2690.0,2485.0,2544.0,1858.0,2058.0,2367.0,2083.0,2148.0,1986.0,1817.0,1973.0,149552.0,150591.0,150571.0,150628.0,150490.0,150346.0,151107.0,151585.0,151895.0,152497.0,153279.0,154917.0,155832.0,157359.0,159210.0
52,1666.0,1994.0,2356.0,1947.0,1902.0,1719.0,1377.0,1496.0,1163.0,1304.0,1160.0,1355.0,1298.0,1342.0,1149.0,1068.0,118310.0,118634.0,118298.0,117890.0,117144.0,116496.0,116167.0,116658.0,117364.0,118172.0,118432.0,118907.0,118544.0,118334.0,119246.0
53,2340.0,2789.0,3087.0,2765.0,2668.0,2792.0,2231.0,2270.0,2049.0,2040.0,2253.0,2002.0,2096.0,1930.0,1850.0,1707.0,126584.0,126867.0,126494.0,126122.0,125660.0,125189.0,125496.0,126669.0,127996.0,128319.0,128133.0,128042.0,127833.0,127970.0,128529.0
54,22890.0,23420.0,23969.0,22602.0,22675.0,20671.0,20614.0,19127.0,17244.0,16755.0,16410.0,15359.0,15609.0,16350.0,13252.0,15535.0,748551.0,752669.0,756889.0,762196.0,768379.0,776389.0,785308.0,791458.0,798539.0,804211.0,811597.0,817769.0,820600.0,821227.0,826689.0
55,3809.0,4448.0,4404.0,4318.0,4140.0,3835.0,3705.0,3260.0,2907.0,2771.0,3280.0,3170.0,3098.0,3166.0,3044.0,3095.0,236554.0,236521.0,235690.0,234772.0,233949.0,232608.0,231858.0,232390.0,233537.0,234378.0,234782.0,234181.0,233257.0,235440.0,237731.0
56,254.0,218.0,196.0,174.0,142.0,182.0,201.0,159.0,132.0,145.0,313.0,379.0,162.0,143.0,104.0,144.0,26782.0,26748.0,26729.0,26597.0,26450.0,25884.0,25365.0,25104.0,24956.0,24718.0,24532.0,24094.0,23880.0,23992.0,24157.0
57,1850.0,2250.0,2573.0,2647.0,2531.0,2536.0,2329.0,1992.0,1866.0,1682.0,1922.0,1988.0,2068.0,1625.0,1721.0,1891.0,104913.0,105049.0,104713.0,104876.0,105236.0,105405.0,105339.0,105339.0,106032.0,106001.0,106212.0,106642.0,106283.0,106196.0,107306.0
58,10501.0,11294.0,11013.0,11175.0,11447.0,10063.0,9568.0,9347.0,8718.0,8563.0,8362.0,9030.0,8967.0,8821.0,7568.0,7932.0,457575.0,458934.0,460550.0,460731.0,460453.0,460069.0,460996.0,462147.0,463606.0,463741.0,464059.0,462550.0,462288.0,462155.0,462619.0
59,247.0,165.0,162.0,170.0,147.0,180.0,161.0,182.0,139.0,133.0,165.0,229.0,147.0,139.0,141.0,171.0,12851.0,12887.0,12900.0,12891.0,12959.0,12980.0,13053.0,13095.0,13289.0,13464.0,13660.0,13782.0,13900.0,13792.0,13717.0
60,5400.0,5953.0,5799.0,6091.0,5655.0,5220.0,5820.0,5288.0,5014.0,5136.0,5332.0,4617.0,4231.0,4164.0,3752.0,4048.0,198013.0,199118.0,200060.0,200615.0,201003.0,201474.0,201481.0,202167.0,203104.0,203970.0,205554.0,205706.0,205452.0,205702.0,207357.0
61,5034.0,5511.0,5252.0,4520.0,4369.0,4189.0,4100.0,4381.0,3855.0,4390.0,3701.0,3372.0,3016.0,2600.0,2713.0,3015.0,225772.0,225782.0,225213.0,224494.0,224851.0,224137.0,223649.0,223858.0,224181.0,224027.0,223685.0,223195.0,222289.0,221469.0,221617.0
62,9176.0,9681.0,9753.0,8492.0,8576.0,7690.0,7720.0,7454.0,7611.0,6820.0,7709.0,7604.0,6462.0,5471.0,5457.0,5864.0,352216.0,354892.0,356424.0,357080.0,357823.0,358699.0,361258.0,364289.0,367592.0,369581.0,370460.0,372218.0,372455.0,372659.0,376179.0
63,5456.0,6045.0,6479.0,6027.0,5879.0,4985.0,5057.0,4851.0,3990.0,4464.0,4438.0,4384.0,4006.0,3213.0,3057.0,3730.0,307501.0,306722.0,305376.0,304943.0,303976.0,302524.0,300611.0,299294.0,299035.0,299053.0,298693.0,297577.0,296341.0,295029.0,296015.0
64,3134.0,3172.0,3142.0,2976.0,3306.0,2747.0,2773.0,2578.0,2285.0,2087.0,2080.0,2581.0,2998.0,2121.0,1973.0,2199.0,161416.0,160124.0,158604.0,157470.0,155918.0,154130.0,152721.0,151925.0,151718.0,151455.0,150819.0,150101.0,148911.0,147979.0,147708.0
65,3285.0,3511.0,3659.0,3731.0,3673.0,3218.0,3002.0,2853.0,2626.0,2585.0,2734.0,2824.0,2503.0,2208.0,1998.0,2243.0,201135.0,201737.0,201637.0,201321.0,200499.0,199998.0,200113.0,200761.0,201537.0,201756.0,200903.0,200485.0,199457.0,198717.0,199366.0
66,3353.0,3224.0,3273.0,3541.0,3090.0,2906.0,3241.0,2391.0,2184.0,2149.0,2038.0,2042.0,2160.0,1927.0,1720.0,2364.0,170266.0,171029.0,171168.0,171051.0,171110.0,170655.0,170692.0,170822.0,171426.0,171396.0,171457.0,171183.0,171030.0,171030.0,170883.0
67,8480.0,9588.0,10487.0,9823.0,10326.0,8781.0,8487.0,7957.0,7531.0,7136.0,7523.0,7728.0,7422.0,6148.0,6063.0,6556.0,421136.0,424540.0,426825.0,430013.0,433303.0,436783.0,439717.0,443793.0,449335.0,454345.0,457389.0,460785.0,465001.0,470925.0,479518.0
