"Net-wealth (median) by age, municipality groups and time"

" "," ","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"18 years and over"
" ","All Denmark",424030,457967,493166,531665,547467,611289,675175,752900,701429
" ","Capital municipalities",445701,490596,521797,553036,563836,614787,680900,739423,674498
" ","Metropolitan municipalities",263825,286329,304603,322136,325931,357030,398168,442355,409333
" ","Provincial municipalities",426021,460731,499840,544270,565146,637419,703306,790697,738875
" ","Commuter municipalities",502740,538153,586441,641036,667947,752423,827744,936478,880420
" ","Rural municipalities",434080,459278,493614,533313,548307,619998,685015,769117,724881
" ","Copenhagen",275998,301918,318158,333743,336942,364425,410386,431725,400015
" ","Frederiksberg",558339,599833,629758,673336,695854,750702,847670,914358,839117
" ","Dragør",1256038,1332585,1437214,1478836,1524991,1691564,1831534,2072869,1984438
" ","Tårnby",632343,714415,769861,845416,851158,912185,1004936,1063660,1008951
" ","Albertslund",280800,319556,349370,385247,384151,418102,467626,525518,461680
" ","Ballerup",459901,501924,547959,586946,589358,661930,703561,773922,672177
" ","Brøndby",269717,286208,316216,336314,345694,392472,425232,450063,364236
" ","Gentofte",1244332,1376158,1431347,1536384,1598460,1747314,1971199,2177851,2010787
" ","Gladsaxe",469595,517559,556166,578311,591910,663726,724206,798090,729694
" ","Glostrup",420398,450613,494138,528613,543584,577754,632316,682943,628086
" ","Herlev",412424,464978,511053,534676,549298,605524,664554,752346,658907
" ","Hvidovre",452521,516832,555004,592448,600916,665949,734751,803364,729698
" ","Høje-Taastrup",401236,453496,505770,521956,547070,593215,631111,663509,558814
" ","Ishøj",217327,244378,280907,310101,315892,356398,386059,425751,372231
" ","Lyngby-Taarbæk",888853,963304,1020887,1065403,1076488,1171817,1289023,1326599,1185574
" ","Rødovre",417676,476721,510465,547105,547346,608311,641654,709706,604700
" ","Vallensbæk",768098,821930,881751,895747,905610,980157,1098987,1203611,1047207
" ","Allerød",1111801,1200162,1240036,1338518,1403381,1513313,1663191,1970421,1827549
" ","Egedal",876739,967222,1027553,1099446,1127174,1219747,1320146,1513798,1342508
" ","Fredensborg",654478,715182,746418,848076,901078,999863,1084294,1241125,1155016
" ","Frederikssund",569735,628550,703487,782396,818962,904985,996189,1118822,1047786
" ","Furesø",1014912,1069455,1143931,1229707,1267551,1392824,1505720,1757301,1601571
" ","Gribskov",617392,678766,757385,824383,889033,1008570,1128668,1288875,1205954
" ","Halsnæs",422031,462847,525918,623181,670761,754932,836997,986025,907571
" ","Helsingør",493830,552353,607918,672726,713796,814386,902300,1061155,938053
" ","Hillerød",647595,699471,755433,833008,868596,968186,1032407,1125988,1028236
" ","Hørsholm",1203923,1300075,1355083,1450980,1498434,1641389,1859015,2165138,1979486
" ","Rudersdal",1256110,1395122,1436070,1531321,1560706,1710337,1931245,2207410,2046378
" ","Bornholm",454502,470138,534223,597793,622460,693068,773470,846584,777380
" ","Greve",660642,727060,819605,883655,908211,994547,1058593,1184139,1089567
" ","Køge",421828,479201,540591,595659,620954,698815,752885,851436,792606
" ","Lejre",685886,774492,841242,922495,933111,1042144,1111789,1211825,1148599
" ","Roskilde",600486,667177,746309,822835,844030,943121,1016521,1168034,1097765
" ","Solrød",759222,857495,942064,999490,1076104,1195317,1296056,1468404,1368528
" ","Faxe",404925,438210,482804,552055,593954,667676,735714,852373,759991
" ","Guldborgsund",380308,399253,435943,474081,488403,563052,619500,698925,645989
" ","Holbæk",440488,466234,508919,583471,591631,689393,760117,874290,801798
" ","Kalundborg",439589,470133,507965,560767,577005,652855,725186,828846,767724
" ","Lolland",330273,355522,389329,409477,430044,492688,537680,607771,549899
" ","Næstved",388235,420233,459430,518987,541789,610909,670741,772836,706038
" ","Odsherred",464651,510181,540454,610338,640194,732769,810141,944951,864351
" ","Ringsted",403103,439404,490117,549097,566341,630323,699764,795471,717160
" ","Slagelse",340386,369889,412897,447784,467852,521593,576693,661763,610512
" ","Sorø",472045,494884,552353,604911,646696,733216,791848,920707,847934
" ","Stevns",519794,549996,622662,678950,738692,851188,905899,1024419,963840
" ","Vordingborg",405573,426708,468361,517187,553310,622510,697190,799256,722436
" ","Assens",427690,436762,469116,515467,523221,609113,664785,722251,703933
" ","Faaborg-Midtfyn",462093,485812,517703,552331,572442,648195,734302,805557,759542
" ","Kerteminde",457183,493758,536764,580000,589178,670185,741128,816382,788338
" ","Langeland",456198,483030,503290,538697,555628,616909,688910,755541,712962
" ","Middelfart",493876,546508,579989,618257,642696,723965,793873,902115,857066
" ","Nordfyns",408839,443973,489313,531481,555083,640157,687766,785415,753069
" ","Nyborg",419952,450611,493444,532952,558740,633686,685285,753386,714859
" ","Odense",246293,269143,285932,302478,304972,344233,383178,430468,401380
" ","Svendborg",436934,467821,503682,545918,575725,654774,742926,829424,796260
" ","Ærø",549807,593582,615138,683251,707658,774272,886291,933524,881686
" ","Billund",513197,543193,588810,628853,626129,713765,768849,850683,829942
" ","Esbjerg",387612,418763,450849,487587,503641,569984,615036,697186,661546
" ","Fanø",805026,817038,906814,830207,1006827,1069312,1210053,1417887,1390729
" ","Fredericia",349935,381984,418843,445382,464096,533809,584936,658352,615789
" ","Haderslev",361542,386869,423046,458596,469037,543847,601271,667804,638223
" ","Kolding",372607,406908,433866,474048,493972,555873,634409,709296,676152
" ","Sønderborg",411219,443399,467515,512870,524776,588002,641573,720729,683679
" ","Tønder",431433,446751,464310,499117,518239,583578,629444,704667,679448
" ","Varde",489759,513944,560403,587817,601806,682094,765849,843845,781374
" ","Vejen",397240,426736,456332,496378,521099,584959,643528,723767,669644
" ","Vejle",422372,451885,487871,526720,544641,614878,676966,747168,708973
" ","Aabenraa",399133,435815,468252,499907,515106,573287,632042,717442,682696
" ","Favrskov",593581,623948,687368,724203,744739,851521,935977,1065955,1002010
" ","Hedensted",514100,543460,584778,633652,646697,720092,783083,902758,845642
" ","Horsens",360561,397530,433245,471630,495147,551743,612632,682514,636065
" ","Norddjurs",384278,407924,440857,464905,483492,552362,613619,697022,671624
" ","Odder",592151,592576,643410,708509,754237,818981,928533,1053823,1015784
" ","Randers",335647,358654,386111,426908,450215,515937,570802,635224,586506
" ","Samsø",596363,622847,657830,710305,747299,863674,901305,1006125,945597
" ","Silkeborg",504483,544114,599510,645439,653741,740187,822429,906620,866357
