"Relative poverty (share of the population) by age, municipality groups"
"and time"

" "," ","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","All Denmark",3.6,4.0,4.5,4.4,4.4,4.2,4.0,3.7
" ","Capital municipalities",4.0,4.3,4.7,4.7,4.7,4.5,4.3,4.0
" ","Metropolitan municipalities",4.0,4.4,5.0,5.1,5.2,5.0,5.0,4.6
" ","Provincial municipalities",3.4,3.8,4.3,4.2,4.1,4.0,3.8,3.5
" ","Commuter municipalities",2.7,3.2,3.7,3.5,3.5,3.3,3.1,2.9
" ","Rural municipalities",3.6,4.2,4.5,4.4,4.3,4.1,3.9,3.5
" ","Copenhagen",5.2,5.5,6.0,5.8,5.9,5.7,5.3,4.8
" ","Frederiksberg",3.2,3.4,3.7,3.6,3.6,3.5,3.2,3.0
" ","Dragør",1.9,2.3,2.4,2.2,2.3,2.2,2.4,1.8
" ","Tårnby",3.0,3.5,3.8,3.9,4.0,3.8,3.5,3.4
" ","Albertslund",5.7,6.1,6.3,6.3,6.7,6.1,5.9,5.5
" ","Ballerup",3.4,3.5,3.9,4.0,4.3,4.1,3.8,3.5
" ","Brøndby",5.6,6.0,7.3,7.0,7.4,7.3,7.0,6.3
" ","Gentofte",2.6,2.9,3.2,3.2,3.0,2.9,2.6,2.4
" ","Gladsaxe",3.8,4.1,4.6,4.3,4.3,4.2,4.1,4.0
" ","Glostrup",3.8,4.0,4.4,4.6,4.6,4.6,4.2,4.1
" ","Herlev",3.2,3.4,3.8,3.8,3.9,3.5,3.5,3.3
" ","Hvidovre",3.5,3.7,4.0,3.9,4.0,3.9,4.0,3.8
" ","Høje-Taastrup",4.9,5.5,6.1,5.9,5.7,5.9,5.7,5.3
" ","Ishøj",5.6,5.9,6.8,7.3,6.9,6.3,6.1,5.7
" ","Lyngby-Taarbæk",2.4,2.7,3.0,2.9,3.0,2.9,2.9,2.7
" ","Rødovre",4.0,4.0,4.7,4.7,4.9,5.0,4.9,4.9
" ","Vallensbæk",3.2,3.2,3.5,3.7,3.9,3.6,3.6,3.4
" ","Allerød",1.7,2.1,2.4,2.1,1.9,1.9,1.9,1.7
" ","Egedal",1.6,2.1,2.6,2.5,2.5,2.1,2.1,2.0
" ","Fredensborg",3.1,3.5,3.9,3.7,3.7,3.5,3.3,2.9
" ","Frederikssund",2.6,2.9,3.4,3.2,3.4,3.2,3.1,2.8
" ","Furesø",2.6,2.9,3.3,3.3,3.1,3.0,2.9,2.6
" ","Gribskov",3.0,3.4,3.9,3.6,3.3,3.0,3.0,3.0
" ","Halsnæs",3.4,3.5,3.9,4.0,3.7,3.8,3.5,3.1
" ","Helsingør",3.7,3.9,4.7,4.5,4.3,3.9,3.7,3.3
" ","Hillerød",2.6,3.1,3.6,3.6,3.5,3.4,3.2,3.1
" ","Hørsholm",2.1,2.3,2.6,2.8,2.5,2.3,2.5,2.2
" ","Rudersdal",2.1,2.5,2.6,2.7,2.7,2.7,2.4,2.0
" ","Bornholm",3.0,3.2,3.6,3.5,3.3,3.5,3.3,2.9
" ","Greve",3.0,3.3,3.7,3.7,3.8,3.9,3.7,3.5
" ","Køge",3.1,3.6,4.1,3.9,3.8,3.9,3.9,3.5
" ","Lejre",2.3,2.8,2.9,2.7,2.6,2.5,2.4,2.3
" ","Roskilde",2.8,3.0,3.4,3.3,3.3,3.2,3.0,2.6
" ","Solrød",1.9,2.6,2.6,2.6,2.4,2.5,2.2,1.9
" ","Faxe",3.6,4.2,4.8,4.5,4.3,3.9,3.7,3.5
" ","Guldborgsund",4.4,5.2,6.0,6.0,5.9,5.5,5.3,4.9
" ","Holbæk",3.4,3.9,4.5,4.3,4.4,4.0,4.0,3.6
" ","Kalundborg",3.8,4.4,4.9,4.8,4.6,4.4,4.3,3.9
" ","Lolland",4.6,5.3,6.1,6.2,6.1,6.0,5.6,5.1
" ","Næstved",3.6,3.9,4.7,4.6,4.3,4.2,4.0,3.8
" ","Odsherred",3.6,4.6,5.1,4.8,4.5,4.5,4.2,3.7
" ","Ringsted",3.3,3.8,4.3,4.3,4.5,4.2,3.6,3.4
" ","Slagelse",4.7,5.1,5.5,5.7,5.8,5.7,5.3,4.8
" ","Sorø",2.9,3.4,4.1,4.1,3.8,3.7,3.2,3.2
" ","Stevns",2.8,3.4,3.8,3.7,3.4,3.2,3.1,2.6
" ","Vordingborg",3.8,4.4,5.3,5.0,5.1,4.5,4.4,4.1
" ","Assens",3.1,3.4,4.1,4.0,4.0,3.8,3.6,3.4
" ","Faaborg-Midtfyn",2.5,3.3,3.8,3.9,3.7,3.4,3.4,3.1
" ","Kerteminde",2.6,3.3,3.9,3.8,4.2,3.7,3.6,3.2
" ","Langeland",4.0,4.7,5.3,5.1,4.7,4.7,4.5,3.8
" ","Middelfart",2.3,2.9,3.3,3.0,3.1,2.9,3.1,2.7
" ","Nordfyns",2.8,3.2,3.9,3.8,4.0,3.7,3.6,3.3
" ","Nyborg",3.1,4.0,4.5,4.1,3.9,4.0,3.6,3.4
" ","Odense",4.7,5.2,6.0,5.9,5.9,5.7,5.6,5.2
" ","Svendborg",3.5,4.3,5.0,4.7,4.6,4.7,4.6,4.2
" ","Ærø",3.0,3.6,4.0,4.2,4.1,3.8,3.9,3.8
" ","Billund",2.8,3.4,3.4,3.3,3.2,3.2,3.0,2.5
" ","Esbjerg",3.7,4.2,4.7,4.3,4.3,4.1,4.0,3.5
" ","Fanø",2.0,3.5,3.9,3.6,2.6,2.7,2.3,1.5
" ","Fredericia",4.0,4.5,5.2,5.1,5.3,5.0,5.0,4.7
" ","Haderslev",4.0,4.5,5.1,4.6,4.7,4.6,4.4,4.1
" ","Kolding",3.5,4.0,4.2,4.2,4.2,4.1,3.9,3.6
" ","Sønderborg",3.3,4.0,4.3,4.0,4.2,4.0,3.9,3.6
" ","Tønder",3.9,4.7,4.8,4.7,4.7,4.6,4.4,3.8
" ","Varde",3.1,3.8,3.5,3.6,3.4,3.0,3.0,2.6
" ","Vejen",3.3,4.0,4.2,3.8,3.8,3.5,3.3,2.7
" ","Vejle",3.0,3.6,4.0,4.0,3.8,3.7,3.7,3.3
" ","Aabenraa",3.9,4.6,4.8,4.5,4.6,4.4,3.9,3.5
" ","Favrskov",1.9,2.2,2.8,2.6,2.4,2.3,2.4,2.1
" ","Hedensted",2.1,2.6,2.9,2.9,3.0,2.7,2.6,2.3
" ","Horsens",3.4,4.0,4.4,4.1,4.0,3.9,3.7,3.4
" ","Norddjurs",3.9,4.3,4.7,4.6,4.2,4.0,3.8,3.5
" ","Odder",2.5,2.8,3.5,3.1,3.1,2.6,2.6,2.5
" ","Randers",3.8,4.3,4.8,4.9,5.0,4.8,4.7,4.6
" ","Samsø",2.6,3.3,3.8,4.5,3.8,3.4,3.9,3.6
" ","Silkeborg",2.7,3.1,3.4,3.3,3.5,3.1,3.0,2.5
" ","Skanderborg",1.7,2.3,2.6,2.4,2.4,2.2,2.0,1.9
" ","Syddjurs",2.4,3.4,3.6,3.4,3.3,3.1,3.1,2.7
" ","Aarhus",3.8,4.2,4.8,4.9,5.0,4.9,4.8,4.5
" ","Herning",3.2,3.7,3.9,4.0,3.8,3.6,3.5,3.2
" ","Holstebro",3.1,3.7,4.1,4.0,3.9,4.0,3.6,3.3
" ","Ikast-Brande",2.7,3.0,3.4,3.6,3.4,3.4,3.4,3.0
" ","Lemvig",3.0,3.5,3.4,3.4,3.4,3.1,2.9,2.7
" ","Ringkøbing-Skjern",3.1,3.3,3.4,3.5,3.2,3.0,2.8,2.6
" ","Skive",3.1,3.6,4.1,3.9,3.6,3.5,3.2,3.1
" ","Struer",3.7,4.4,4.7,4.2,3.9,3.9,3.7,3.4
" ","Viborg",3.2,3.7,3.8,3.8,3.8,3.6,3.4,3.0
" ","Brønderslev",3.7,4.1,4.5,4.3,3.9,3.8,3.5,3.2
" ","Frederikshavn",3.1,3.7,4.2,4.3,4.0,4.2,3.7,3.3
" ","Hjørring",3.8,4.3,4.5,4.4,4.1,4.0,3.6,3.3
" ","Jammerbugt",3.1,3.8,4.5,4.1,4.0,3.6,3.4,3.0
" ","Læsø",3.2,3.1,3.3,2.5,2.4,2.6,2.7,2.9
" ","Mariagerfjord",3.5,3.8,4.2,4.2,4.4,4.1,3.8,3.6
" ","Morsø",3.6,4.4,4.5,3.9,3.8,3.5,4.0,3.1
" ","Rebild",2.2,2.3,2.8,2.6,2.6,2.5,2.1,1.9
" ","Thisted",3.4,3.8,4.2,4.2,4.0,4.0,3.7,3.2
" ","Vesthimmerlands",4.0,4.2,4.3,4.4,4.1,3.9,3.7,3.3
" ","Aalborg",3.6,4.0,4.6,4.6,4.6,4.5,4.7,4.3
"0-17 years"
" ","All Denmark",3.8,4.6,5.6,5.4,5.3,5.0,4.7,4.2
" ","Capital municipalities",3.9,4.3,5.2,5.0,5.0,4.8,4.5,4.0
" ","Metropolitan municipalities",4.1,4.8,6.3,6.1,6.3,5.8,5.7,5.1
" ","Provincial municipalities",3.5,4.3,5.3,5.1,4.9,4.7,4.5,3.9
" ","Commuter municipalities",3.0,3.9,4.9,4.6,4.6,4.2,4.0,3.6
" ","Rural municipalities",4.4,5.6,6.7,6.3,6.1,5.8,5.5,4.8
" ","Copenhagen",5.2,5.6,6.8,6.3,6.2,5.9,5.5,4.6
" ","Frederiksberg",2.8,3.3,3.9,3.7,3.8,3.5,3.1,2.7
" ","Dragør",2.0,2.5,2.3,2.3,2.2,2.2,2.6,1.9
" ","Tårnby",3.0,3.5,4.1,4.1,4.1,4.0,3.5,3.2
" ","Albertslund",6.0,6.0,6.4,6.5,7.2,6.3,6.2,6.0
" ","Ballerup",3.3,3.6,4.6,4.7,5.1,5.2,4.6,4.1
" ","Brøndby",7.0,7.5,10.4,9.3,10.0,9.1,9.0,7.2
" ","Gentofte",1.9,2.2,2.6,2.7,2.5,2.5,2.3,2.1
" ","Gladsaxe",4.0,4.3,5.4,4.7,5.1,4.9,4.8,4.7
" ","Glostrup",3.7,4.0,4.8,4.9,5.4,4.9,4.7,4.4
" ","Herlev",3.4,3.5,4.7,4.2,4.5,3.8,3.9,3.5
" ","Hvidovre",3.2,3.6,4.2,3.8,4.0,4.0,4.1,3.8
" ","Høje-Taastrup",5.4,6.7,7.7,7.7,7.1,7.3,6.9,6.2
" ","Ishøj",6.1,7.4,8.5,9.6,8.0,6.9,7.2,6.6
" ","Lyngby-Taarbæk",2.1,2.5,3.2,3.1,3.1,3.1,3.0,2.8
" ","Rødovre",4.4,4.3,5.7,5.0,5.2,5.4,5.2,5.3
" ","Vallensbæk",3.9,3.9,3.9,4.3,4.4,3.8,4.0,3.5
" ","Allerød",1.6,2.3,2.7,2.3,2.3,2.1,2.1,2.1
" ","Egedal",1.3,2.0,2.8,2.5,2.7,2.2,2.0,2.1
" ","Fredensborg",3.7,4.3,5.3,4.9,4.9,4.3,3.9,3.4
" ","Frederikssund",2.8,3.2,4.6,4.2,4.6,4.2,4.0,3.4
" ","Furesø",2.5,2.6,3.5,3.7,3.5,3.6,3.1,3.0
" ","Gribskov",3.4,4.1,5.4,4.8,4.4,3.6,4.1,4.1
" ","Halsnæs",3.8,4.4,5.6,6.0,5.2,5.6,5.2,4.4
" ","Helsingør",4.0,4.5,6.3,5.9,5.4,4.6,4.6,3.8
" ","Hillerød",2.3,3.4,4.2,3.9,3.8,3.7,3.4,3.5
" ","Hørsholm",2.3,2.3,3.2,3.7,3.4,3.1,3.4,3.0
" ","Rudersdal",2.2,2.7,3.0,3.0,3.2,2.9,2.7,1.9
" ","Bornholm",3.7,4.0,5.0,5.0,4.7,5.4,5.1,4.1
" ","Greve",2.6,3.3,3.8,3.8,3.8,4.0,3.6,3.4
" ","Køge",3.6,4.3,5.4,5.1,5.0,5.5,5.4,4.4
" ","Lejre",2.4,3.7,3.7,3.5,3.5,3.2,3.0,2.5
" ","Roskilde",2.2,2.4,3.3,3.2,2.8,3.0,2.8,2.3
" ","Solrød",1.9,3.0,3.0,3.3,2.9,3.2,2.5,2.1
" ","Faxe",4.6,5.9,7.2,6.3,6.1,5.0,5.0,4.6
" ","Guldborgsund",5.6,7.5,9.4,9.2,9.2,8.4,8.3,7.2
" ","Holbæk",3.7,4.4,5.8,5.7,5.9,5.1,5.2,4.9
" ","Kalundborg",5.0,6.3,8.1,7.7,7.4,6.8,6.7,6.2
" ","Lolland",6.6,7.8,10.0,10.2,9.5,9.7,9.1,8.3
" ","Næstved",4.1,4.3,6.2,5.8,5.3,5.3,4.8,4.5
" ","Odsherred",4.4,6.7,8.6,7.9,7.5,7.8,6.9,5.5
" ","Ringsted",3.5,4.3,5.6,5.2,5.7,5.3,4.2,3.9
" ","Slagelse",6.2,6.9,8.1,8.2,8.2,8.1,7.5,6.6
" ","Sorø",3.1,4.0,5.6,6.1,5.6,5.2,4.5,4.5
" ","Stevns",2.9,4.2,4.7,4.9,4.8,4.6,4.3,3.0
